Label,Pairwise Deletion Sample Size for Observed Data,r Correlation,95% CI Lower Bound for r Correlation,95% CI Upper Bound for r Correlation,95% CI Width for r Correlation,d Correlation,d Correlation Minus |r| Correlation
Angling Risk Task Keep Score with K6 Restless/Fidgety,522,-.0174,-.1042,.0674,.1717,.0640,.0466
Angling Risk Task Keep Score with K6 Depressed,522,.0198,-.0634,.1042,.1676,.0401,.0203
Angling Risk Task Keep Score with K6 Everything an Effort,522,.0338,-.0502,.1170,.1673,.0496,.0157
Angling Risk Task Keep Score with K6 Worthless,522,.0494,-.0296,.1283,.1578,.0588,.0094
Angling Risk Task Keep Score with Cigarettes Per Day,522,.0473,-.0325,.1258,.1583,.0531,.0058
Angling Risk Task Keep Score with How Many Drinks When Drinking,522,.0034,-.0858,.0899,.1757,.0437,.0403
Angling Risk Task Keep Score with How Often 6+ Drinks,522,-.0345,-.1184,.0472,.1656,.0692,.0347
Angling Risk Task Keep Score with How Often Unable to Stop Drinking,522,.0390,-.0545,.1325,.1870,.0520,.0130
Angling Risk Task Release Adjusted Clicks with Angling Risk Task Release Loss Percent,522,.7357,.6904,.7757,.0853,.6784,-.0573
Angling Risk Task Release Adjusted Clicks with Angling Risk Task Release Score,522,.8760,.8476,.9005,.0529,.8741,-.0019
Angling Risk Task Release Adjusted Clicks with Attention Network Task Alerting HDDM Drift,198,-.0759,-.2103,.0661,.2764,.1192,.0433
Angling Risk Task Release Adjusted Clicks with Attention Network Task Conflict HDDM Drift,198,.0450,-.1064,.1672,.2736,.1231,.0781
Angling Risk Task Release Adjusted Clicks with Attention Network Task HDDM Drift,198,.0283,-.0996,.1558,.2554,.1104,.0821
Angling Risk Task Release Adjusted Clicks with Attention Network Task HDDM Non-Decision,198,-.0544,-.1780,.0698,.2478,.0960,.0416
Angling Risk Task Release Adjusted Clicks with Attention Network Task HDDM Threshold,198,-.0533,-.1882,.0848,.2730,.0944,.0411
Angling Risk Task Release Adjusted Clicks with Attention Network Task Orienting HDDM Drift,198,-.0517,-.2115,.1117,.3232,.1259,.0742
Angling Risk Task Release Adjusted Clicks with Bickel Titrator Discount Rate Large,522,-.0404,-.1250,.0380,.1629,.0578,.0175
Angling Risk Task Release Adjusted Clicks with Bickel Titrator Discount Rate Medium,522,-.0601,-.1255,.0008,.1263,.0711,.0109
Angling Risk Task Release Adjusted Clicks with Bickel Titrator Discount Rate Small,522,-.0750,-.1650,.0144,.1795,.0874,.0125
Angling Risk Task Release Adjusted Clicks with Choice Reaction Time HDDM Drift,518,.0555,-.0309,.1433,.1742,.0976,.0421
Angling Risk Task Release Adjusted Clicks with Choice Reaction Time HDDM Non-Decision,518,-.0343,-.1146,.0454,.1600,.0691,.0349
Angling Risk Task Release Adjusted Clicks with Choice Reaction Time HDDM Threshold,518,-.0733,-.1572,.0096,.1668,.0844,.0111
Angling Risk Task Release Adjusted Clicks with Cognitive Reflection Task Correct Proportion,522,.1422,.0586,.2272,.1686,.1542,.0119
Angling Risk Task Release Adjusted Clicks with Cognitive Reflection Task Intuitive Proportion,522,-.0903,-.1729,-.0081,.1647,.1175,.0273
Angling Risk Task Release Adjusted Clicks with Columbia Card Task Cold Average Cards Chosen,522,.0717,-.0186,.1620,.1806,.0917,.0200
Angling Risk Task Release Adjusted Clicks with Columbia Card Task Cold Gain Sensitivity,522,.0494,-.0254,.1243,.1497,.1053,.0560
Angling Risk Task Release Adjusted Clicks with Columbia Card Task Cold Information Use,522,.1706,.0867,.2497,.1630,.1694,-.0012
Angling Risk Task Release Adjusted Clicks with Columbia Card Task Cold Loss Sensitivity,522,-.1076,-.1798,-.0325,.1473,.1355,.0279
Angling Risk Task Release Adjusted Clicks with Columbia Card Task Cold Probability Sensitivity,522,-.1274,-.2139,-.0400,.1739,.1401,.0127
Angling Risk Task Release Adjusted Clicks with Columbia Card Task Hot Average Cards Chosen,521,.1476,.0583,.2337,.1754,.1798,.0322
Angling Risk Task Release Adjusted Clicks with Columbia Card Task Hot Gain Sensitivity,521,.0862,.0022,.1719,.1698,.1212,.0349
Angling Risk Task Release Adjusted Clicks with Columbia Card Task Hot Information Use,521,.1592,.0777,.2381,.1604,.1591,-.0001
Angling Risk Task Release Adjusted Clicks with Columbia Card Task Hot Loss Sensitivity,521,-.0938,-.1678,-.0194,.1484,.1215,.0277
Angling Risk Task Release Adjusted Clicks with Columbia Card Task Hot Probability Sensitivity,521,-.1626,-.2502,-.0730,.1772,.1858,.0232
Angling Risk Task Release Adjusted Clicks with Dietary Decision Task Health Sensitivity,522,-.0032,-.0968,.0866,.1834,.1115,.1083
Angling Risk Task Release Adjusted Clicks with Dietary Decision Task Taste Sensitivity,522,-.0323,-.1223,.0586,.1809,.0862,.0539
Angling Risk Task Release Adjusted Clicks with Digit Span Forward Span,522,.0481,-.0418,.1379,.1796,.1087,.0606
Angling Risk Task Release Adjusted Clicks with Digit Span Reverse Span,522,.0248,-.0648,.1151,.1799,.0974,.0726
Angling Risk Task Release Adjusted Clicks with Directed Forgetting HDDM Drift,495,.0532,-.0391,.1449,.1841,.0932,.0400
Angling Risk Task Release Adjusted Clicks with Directed Forgetting HDDM Non-Decision,495,-.0231,-.1091,.0625,.1716,.1023,.0792
Angling Risk Task Release Adjusted Clicks with Directed Forgetting HDDM Threshold,495,-.0273,-.1197,.0679,.1876,.0644,.0371
Angling Risk Task Release Adjusted Clicks with Directed Forgetting Proactive Interference HDDM Drift,490,-.0003,-.0967,.0963,.1930,.0762,.0759
Angling Risk Task Release Adjusted Clicks with Discount Titrator Percent Patient,522,.0639,-.0263,.1522,.1785,.0860,.0222
Angling Risk Task Release Adjusted Clicks with Dot Pattern Expectancy AY.BY HDDM Drift,501,-.0332,-.1117,.0441,.1558,.0797,.0465
Angling Risk Task Release Adjusted Clicks with Dot Pattern Expectancy BX.BY HDDM Drift,501,.0587,-.0355,.1546,.1901,.0828,.0241
Angling Risk Task Release Adjusted Clicks with Dot Pattern Expectancy Bias,498,-.0020,-.0920,.0859,.1779,.0527,.0507
Angling Risk Task Release Adjusted Clicks with Dot Pattern Expectancy d',498,.0278,-.0610,.1166,.1777,.0620,.0341
Angling Risk Task Release Adjusted Clicks with Dot Pattern Expectancy HDDM Drift,504,.0574,-.0289,.1434,.1723,.0868,.0295
Angling Risk Task Release Adjusted Clicks with Dot Pattern Expectancy HDDM Non-Decision,504,-.0721,-.1589,.0167,.1757,.1138,.0417
Angling Risk Task Release Adjusted Clicks with Dot Pattern Expectancy HDDM Threshold,504,.0096,-.0615,.0880,.1494,.0827,.0731
Angling Risk Task Release Adjusted Clicks with Go-No Go Bias,521,-.0510,-.1414,.0401,.1814,.0759,.0249
Angling Risk Task Release Adjusted Clicks with Go-No Go d',521,.0009,-.0860,.0878,.1738,.0689,.0679
Angling Risk Task Release Adjusted Clicks with Hierarchical Learning Task Score,515,.1336,.0494,.2157,.1662,.1393,.0057
Angling Risk Task Release Adjusted Clicks with Holt & Laury Safe Choices,522,-.1311,-.2146,-.0462,.1684,.1273,-.0038
Angling Risk Task Release Adjusted Clicks with Information Sampling Task Decreasing Win Probability Correct,514,-.0179,-.1100,.0777,.1877,.0676,.0497
Angling Risk Task Release Adjusted Clicks with Information Sampling Task Decreasing Win Motivation,503,-.0099,-.0967,.0769,.1736,.0710,.0612
Angling Risk Task Release Adjusted Clicks with Information Sampling Task Fixed Win Probability Correct,514,.1155,.0310,.1994,.1683,.1212,.0057
Angling Risk Task Release Adjusted Clicks with Information Sampling Task Fixed Win Motivation,510,.0375,-.0506,.1262,.1767,.0774,.0399
Angling Risk Task Release Adjusted Clicks with Keep Track Task Score,514,.0829,-.0141,.1728,.1870,.1076,.0247
Angling Risk Task Release Adjusted Clicks with Kirby Discount Rate Large,522,-.0425,-.1282,.0433,.1715,.0637,.0212
Angling Risk Task Release Adjusted Clicks with Kirby Discount Rate Medium,522,-.1035,-.1819,-.0217,.1602,.1181,.0146
Angling Risk Task Release Adjusted Clicks with Kirby Discount Rate Small,522,-.0328,-.1111,.0480,.1591,.0671,.0343
Angling Risk Task Release Adjusted Clicks with Local-Global Letter Task HDDM Drift of Conflict,194,-.0300,-.1424,.0854,.2278,.1015,.0715
Angling Risk Task Release Adjusted Clicks with Local-Global Letter Task HDDM Drift,194,.1043,-.0381,.2430,.2812,.1416,.0373
Angling Risk Task Release Adjusted Clicks with Local-Global Letter Task HDDM Non-Decision,194,.0400,-.0998,.1778,.2776,.1129,.0729
Angling Risk Task Release Adjusted Clicks with Local-Global Letter Task HDDM Threshold,194,-.0338,-.1549,.0920,.2468,.1040,.0702
Angling Risk Task Release Adjusted Clicks with Local-Global Letter Task HDDM Drift of Switch Cost,194,-.0134,-.1522,.1290,.2811,.1028,.0894
Angling Risk Task Release Adjusted Clicks with Motor Selective Stop Signal Reaction Time,361,.0420,-.0672,.1529,.2201,.0679,.0259
Angling Risk Task Release Adjusted Clicks with Motor Selective Stop Signal HDDM Drift,361,.0001,-.1049,.1030,.2078,.0706,.0705
Angling Risk Task Release Adjusted Clicks with Motor Selective Stop Signal HDDM Non-Decision,361,.0547,-.0435,.1473,.1908,.0859,.0312
Angling Risk Task Release Adjusted Clicks with Motor Selective Stop Signal HDDM Threshold,361,-.0811,-.1763,.0182,.1945,.1042,.0231
Angling Risk Task Release Adjusted Clicks with Motor Selective Stop Signal Reactive Control,361,.0145,-.0902,.1170,.2071,.0822,.0677
Angling Risk Task Release Adjusted Clicks with Motor Selective Stop Signal Proactive Control,361,-.0118,-.1203,.0978,.2182,.0960,.0842
Angling Risk Task Release Adjusted Clicks with Probabilistic Selection Task Positive Learning Bias,369,.0630,-.0410,.1682,.2091,.1034,.0404
Angling Risk Task Release Adjusted Clicks with Probabilistic Selection Task Value Sensitivity,369,-.0302,-.1361,.0750,.2111,.0873,.0571
Angling Risk Task Release Adjusted Clicks with Psychological Refractory Period Slope,515,-.0926,-.1718,-.0142,.1576,.1077,.0151
Angling Risk Task Release Adjusted Clicks with Raven Progressive Matrices,522,.1734,.0849,.2583,.1734,.1632,-.0101
Angling Risk Task Release Adjusted Clicks with Shift Task Accuracy,512,.0422,-.0546,.1389,.1935,.0759,.0337
Angling Risk Task Release Adjusted Clicks with Shift Task Learning Rate,512,.0133,-.0736,.0980,.1716,.0744,.0611
Angling Risk Task Release Adjusted Clicks with Simon Task HDDM Drift,519,.0352,-.0527,.1230,.1757,.0758,.0406
Angling Risk Task Release Adjusted Clicks with Simon Task HDDM Non-Decision,519,-.0618,-.1446,.0272,.1718,.0856,.0237
Angling Risk Task Release Adjusted Clicks with Simon Task HDDM Threshold,519,-.1117,-.1921,-.0287,.1634,.1144,.0027
Angling Risk Task Release Adjusted Clicks with Simon Task HDDM Drift of Simon Effect,519,.0039,-.0850,.0962,.1813,.0832,.0793
Angling Risk Task Release Adjusted Clicks with Simple Reaction Time Average Reaction Time,517,-.1227,-.2085,-.0327,.1758,.1035,-.0192
Angling Risk Task Release Adjusted Clicks with Spatial Span Forward Span,522,.1469,.0616,.2322,.1706,.1414,-.0055
Angling Risk Task Release Adjusted Clicks with Spatial Span Reverse Span,522,.1005,.0153,.1863,.1710,.1208,.0202
Angling Risk Task Release Adjusted Clicks with Stimulus Selective Stop Signal Reaction Time,458,-.0205,-.1051,.0666,.1717,.0741,.0536
Angling Risk Task Release Adjusted Clicks with Stimulus Selective Stop Signal HDDM Drift,458,.0809,-.0064,.1685,.1749,.1135,.0327
Angling Risk Task Release Adjusted Clicks with Stimulus Selective Stop Signal HDDM Non-Decision,458,.0378,-.0422,.1164,.1585,.0781,.0402
Angling Risk Task Release Adjusted Clicks with Stimulus Selective Stop Signal HDDM Threshold,458,-.0723,-.1654,.0239,.1893,.0848,.0125
Angling Risk Task Release Adjusted Clicks with Stop Signal Reaction Time High,478,.0059,-.0766,.0936,.1702,.0685,.0626
Angling Risk Task Release Adjusted Clicks with Stop Signal Reaction Time Low,478,-.0448,-.1346,.0426,.1772,.0697,.0249
Angling Risk Task Release Adjusted Clicks with Stop Signal HDDM Drift,478,-.0246,-.1084,.0608,.1692,.0726,.0480
Angling Risk Task Release Adjusted Clicks with Stop Signal HDDM Non-Decision,478,-.0013,-.0850,.0823,.1672,.0587,.0574
Angling Risk Task Release Adjusted Clicks with Stop Signal HDDM Threshold,478,-.0537,-.1487,.0481,.1967,.1034,.0497
Angling Risk Task Release Adjusted Clicks with Stop Signal Proactive Reaction Time Speeding,478,-.0593,-.1482,.0306,.1788,.0838,.0244
Angling Risk Task Release Adjusted Clicks with Stop Signal Proactive Reaction Time Slowing,478,-.0502,-.1379,.0383,.1762,.0770,.0268
Angling Risk Task Release Adjusted Clicks with Stroop HDDM Drift,521,.0065,-.0774,.0933,.1707,.0907,.0842
Angling Risk Task Release Adjusted Clicks with Stroop HDDM Non-Decision,521,-.0870,-.1774,.0048,.1822,.1000,.0129
Angling Risk Task Release Adjusted Clicks with Stroop HDDM Threshold,521,-.0819,-.1735,.0132,.1867,.0988,.0169
Angling Risk Task Release Adjusted Clicks with Stroop HDDM Drift of Stroop Effect,521,.0621,-.0208,.1452,.1660,.0894,.0273
Angling Risk Task Release Adjusted Clicks with Tower of London Average Move Time,521,-.1638,-.2387,-.0823,.1564,.1527,-.0111
Angling Risk Task Release Adjusted Clicks with Tower of London Number of Extra Moves,522,.0864,.0009,.1737,.1728,.0879,.0014
Angling Risk Task Release Adjusted Clicks with Tower of London Number of Optimal Solutions,522,.1315,.0440,.2156,.1716,.1304,-.0011
Angling Risk Task Release Adjusted Clicks with Tower of London Planning Time,522,-.0562,-.1456,.0356,.1811,.0847,.0285
Angling Risk Task Release Adjusted Clicks with Two-Stage Decision Model-Based,435,.0833,-.0152,.1830,.1982,.1007,.0174
Angling Risk Task Release Adjusted Clicks with Two-Stage Decision Model-Free,435,.0372,-.0633,.1354,.1987,.0913,.0541
Angling Risk Task Release Adjusted Clicks with Two-Stage Decision Perseverance,435,.0233,-.0707,.1188,.1895,.0752,.0520
Angling Risk Task Release Adjusted Clicks with Writing Task Neutral Probability,522,-.0644,-.1498,.0215,.1713,.0712,.0067
Angling Risk Task Release Adjusted Clicks with Writing Task Positive Probability,522,-.0143,-.0957,.0685,.1642,.0700,.0557
Angling Risk Task Release Adjusted Clicks with Body Mass Index,518,-.0665,-.1602,.0319,.1922,.1108,.0442
Angling Risk Task Release Adjusted Clicks with K6 Nervous,522,-.0054,-.0925,.0832,.1757,.0758,.0705
Angling Risk Task Release Adjusted Clicks with K6 Hopeless,522,.0141,-.0735,.1017,.1752,.0540,.0399
Angling Risk Task Release Adjusted Clicks with K6 Restless/Fidgety,522,-.0275,-.1120,.0596,.1717,.0641,.0366
Angling Risk Task Release Adjusted Clicks with K6 Depressed,522,.0035,-.0828,.0870,.1697,.0374,.0339
Angling Risk Task Release Adjusted Clicks with K6 Everything an Effort,522,.0060,-.0805,.0925,.1730,.0424,.0365
Angling Risk Task Release Adjusted Clicks with K6 Worthless,522,.0232,-.0614,.1084,.1698,.0502,.0269
Angling Risk Task Release Adjusted Clicks with Cigarettes Per Day,522,.0589,-.0142,.1349,.1491,.0936,.0347
Angling Risk Task Release Adjusted Clicks with How Many Drinks When Drinking,522,-.0122,-.0977,.0713,.1690,.0394,.0272
Angling Risk Task Release Adjusted Clicks with How Often 6+ Drinks,522,-.0153,-.0939,.0663,.1602,.0538,.0385
Angling Risk Task Release Adjusted Clicks with How Often Unable to Stop Drinking,522,.0083,-.0820,.0957,.1776,.0617,.0533
Angling Risk Task Release Loss Percent with Angling Risk Task Release Score,522,.3999,.3174,.4770,.1596,.3940,-.0060
Angling Risk Task Release Loss Percent with Attention Network Task Alerting HDDM Drift,198,-.0496,-.1771,.0809,.2580,.1022,.0526
Angling Risk Task Release Loss Percent with Attention Network Task Conflict HDDM Drift,198,.0228,-.1209,.1389,.2598,.1217,.0989
Angling Risk Task Release Loss Percent with Attention Network Task HDDM Drift,198,-.0210,-.1527,.1069,.2595,.0912,.0702
Angling Risk Task Release Loss Percent with Attention Network Task HDDM Non-Decision,198,-.0490,-.1598,.0688,.2286,.1131,.0640
Angling Risk Task Release Loss Percent with Attention Network Task HDDM Threshold,198,-.0288,-.1686,.1122,.2808,.0904,.0616
Angling Risk Task Release Loss Percent with Attention Network Task Orienting HDDM Drift,198,.0725,-.0924,.2335,.3259,.1021,.0296
Angling Risk Task Release Loss Percent with Bickel Titrator Discount Rate Large,522,-.0182,-.0700,.0247,.0948,.0585,.0403
Angling Risk Task Release Loss Percent with Bickel Titrator Discount Rate Medium,522,-.0517,-.1281,.0141,.1422,.0627,.0111
Angling Risk Task Release Loss Percent with Bickel Titrator Discount Rate Small,522,-.1063,-.1837,-.0300,.1537,.1095,.0031
Angling Risk Task Release Loss Percent with Choice Reaction Time HDDM Drift,518,.0264,-.0584,.1123,.1707,.0609,.0344
Angling Risk Task Release Loss Percent with Choice Reaction Time HDDM Non-Decision,518,-.0554,-.1470,.0367,.1837,.0710,.0156
Angling Risk Task Release Loss Percent with Choice Reaction Time HDDM Threshold,518,-.0376,-.1243,.0493,.1736,.0772,.0395
Angling Risk Task Release Loss Percent with Cognitive Reflection Task Correct Proportion,522,.1700,.0876,.2499,.1623,.1684,-.0016
Angling Risk Task Release Loss Percent with Cognitive Reflection Task Intuitive Proportion,522,-.1116,-.1868,-.0309,.1559,.1145,.0030
Angling Risk Task Release Loss Percent with Columbia Card Task Cold Average Cards Chosen,522,.0687,-.0214,.1597,.1811,.0982,.0294
Angling Risk Task Release Loss Percent with Columbia Card Task Cold Gain Sensitivity,522,.0878,.0071,.1657,.1587,.1252,.0374
Angling Risk Task Release Loss Percent with Columbia Card Task Cold Information Use,522,.1616,.0787,.2408,.1621,.1488,-.0129
Angling Risk Task Release Loss Percent with Columbia Card Task Cold Loss Sensitivity,522,-.1226,-.1950,-.0482,.1469,.1427,.0201
Angling Risk Task Release Loss Percent with Columbia Card Task Cold Probability Sensitivity,522,-.1214,-.2022,-.0384,.1638,.1278,.0064
Angling Risk Task Release Loss Percent with Columbia Card Task Hot Average Cards Chosen,521,.1538,.0671,.2382,.1711,.1820,.0282
Angling Risk Task Release Loss Percent with Columbia Card Task Hot Gain Sensitivity,521,.0581,-.0320,.1470,.1790,.0931,.0350
Angling Risk Task Release Loss Percent with Columbia Card Task Hot Information Use,521,.1059,.0206,.1897,.1690,.1188,.0128
Angling Risk Task Release Loss Percent with Columbia Card Task Hot Loss Sensitivity,521,-.0708,-.1446,.0046,.1492,.0825,.0117
Angling Risk Task Release Loss Percent with Columbia Card Task Hot Probability Sensitivity,521,-.1601,-.2449,-.0741,.1707,.1906,.0306
Angling Risk Task Release Loss Percent with Dietary Decision Task Health Sensitivity,522,.0098,-.0817,.1004,.1822,.0817,.0719
Angling Risk Task Release Loss Percent with Dietary Decision Task Taste Sensitivity,522,-.0094,-.1020,.0844,.1864,.0792,.0698
Angling Risk Task Release Loss Percent with Digit Span Forward Span,522,.0171,-.0694,.1042,.1737,.0726,.0555
Angling Risk Task Release Loss Percent with Digit Span Reverse Span,522,.0059,-.0870,.0975,.1845,.0732,.0674
Angling Risk Task Release Loss Percent with Directed Forgetting HDDM Drift,495,.0020,-.0848,.0885,.1733,.0599,.0579
